using device 0 NVIDIA GeForce RTX 3090
DEVICE: cuda
client_num: 1
========== 开始训练 ==========
第一阶段：训练本地模型...
tensor(0.0850, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0109, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0824, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0102, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0853, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0822, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0097, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0806, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0089, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0771, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0082, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0746, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0081, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0726, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0074, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0717, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0074, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0695, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0067, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0689, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0068, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0690, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0067, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0673, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0063, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0664, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0062, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0631, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0057, device='cuda:0', grad_fn=<MeanBackward0>)
